seed,model,RMSE,MAE
seed,model,RMSE,MAE
seed,model,RMSE,MAE
seed,model,RMSE,MAE
10,output/models/livia/linear_livia_10_pkl,here_will_be_RMSE,here_will_be_MAE
11,output/models/livia/linear_livia_11_pkl,here_will_be_RMSE,here_will_be_MAE
12,output/models/livia/linear_livia_12_pkl,here_will_be_RMSE,here_will_be_MAE
13,output/models/livia/linear_livia_13_pkl,here_will_be_RMSE,here_will_be_MAE
14,output/models/livia/linear_livia_14_pkl,here_will_be_RMSE,here_will_be_MAE
15,output/models/livia/linear_livia_15_pkl,here_will_be_RMSE,here_will_be_MAE
16,output/models/livia/linear_livia_16_pkl,here_will_be_RMSE,here_will_be_MAE
17,output/models/livia/linear_livia_17_pkl,here_will_be_RMSE,here_will_be_MAE
18,output/models/livia/linear_livia_18_pkl,here_will_be_RMSE,here_will_be_MAE
19,output/models/livia/linear_livia_19_pkl,here_will_be_RMSE,here_will_be_MAE
seed,model,RMSE,MAE
10,output\models\livia\linear_livia_10_pkl,here_will_be_RMSE,here_will_be_MAE
11,output\models\livia\linear_livia_11_pkl,here_will_be_RMSE,here_will_be_MAE
12,output\models\livia\linear_livia_12_pkl,here_will_be_RMSE,here_will_be_MAE
13,output\models\livia\linear_livia_13_pkl,here_will_be_RMSE,here_will_be_MAE
14,output\models\livia\linear_livia_14_pkl,here_will_be_RMSE,here_will_be_MAE
15,output\models\livia\linear_livia_15_pkl,here_will_be_RMSE,here_will_be_MAE
16,output\models\livia\linear_livia_16_pkl,here_will_be_RMSE,here_will_be_MAE
17,output\models\livia\linear_livia_17_pkl,here_will_be_RMSE,here_will_be_MAE
18,output\models\livia\linear_livia_18_pkl,here_will_be_RMSE,here_will_be_MAE
19,output\models\livia\linear_livia_19_pkl,here_will_be_RMSE,here_will_be_MAE
seed,model,RMSE,MAE
10,output/models/livia/linear_livia_10_pkl,here_will_be_RMSE,here_will_be_MAE
11,output/models/livia/linear_livia_11_pkl,here_will_be_RMSE,here_will_be_MAE
12,output/models/livia/linear_livia_12_pkl,here_will_be_RMSE,here_will_be_MAE
13,output/models/livia/linear_livia_13_pkl,here_will_be_RMSE,here_will_be_MAE
14,output/models/livia/linear_livia_14_pkl,here_will_be_RMSE,here_will_be_MAE
15,output/models/livia/linear_livia_15_pkl,here_will_be_RMSE,here_will_be_MAE
16,output/models/livia/linear_livia_16_pkl,here_will_be_RMSE,here_will_be_MAE
17,output/models/livia/linear_livia_17_pkl,here_will_be_RMSE,here_will_be_MAE
18,output/models/livia/linear_livia_18_pkl,here_will_be_RMSE,here_will_be_MAE
19,output/models/livia/linear_livia_19_pkl,here_will_be_RMSE,here_will_be_MAE
